,Player,Pos,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,Live,Dead,Sw,Crs,TI,CK,xG,npxG,xA,G-xG,Sh,SoT,Sh Dist,FK,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att.1,Cmp%,KP,1/3,PPA,CrsPA,PrgP,Short Cmp,Short Att,Short Cmp%,Med. Cmp,Med. Att,Med. Cmp%,Long Cmp,Long Att,Long Cmp%
0,Brenden Aaronson,CM,2023-2024,22,United States,Union Berlin,Bundesliga,30,1267,14.1,14,16,439.0,29.0,1.0,22.0,12.0,6.0,2.0,2.0,2.0,0.0,18.0,7.0,18.4,0.0,2.0,2.0,4.0,2.0,0.0,0,0.0,365.0,472,77.3,22.0,30,14.0,3,56,206.0,240.0,85.8,105,130,80.8,19,32,59.4
1,Paxten Aaronson,CM,2023-2024,19,United States,Eint Frankfurt,Bundesliga,7,101,1.1,1,6,48.0,2.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,-0.1,2.0,2.0,15.1,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,41.0,50,82.0,1.0,4,2.0,0,5,20.0,25.0,80.0,20,22,90.9,0,2,0.0
2,Salis Abdul Samed,CM,2023-2024,23,Ghana,Lens,Ligue 1,27,1519,16.9,17,10,875.0,18.0,1.0,3.0,1.0,0.0,0.8,0.8,1.1,-0.8,5.0,0.0,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,796.0,895,88.9,6.0,87,5.0,2,78,393.0,433.0,90.8,330,360,91.7,41,54,75.9
3,Laurent Abergel,CM,2023-2024,30,France,Lorient,Ligue 1,33,2860,31.8,32,1,1743.0,88.0,13.0,34.0,14.0,0.0,1.1,1.1,1.9,0.9,26.0,11.0,26.5,0.0,2.0,1.0,3.0,2.0,0.0,0,0.0,1551.0,1836,84.5,30.0,188,23.0,3,194,629.0,707.0,89.0,711,802,88.7,150,233,64.4
4,Tyler Adams,CM,2023-2024,24,United States,Bournemouth,Premier League,3,121,1.3,1,2,67.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,59.0,71,83.1,1.0,9,0.0,0,5,35.0,39.0,89.7,18,24,75.0,6,8,75.0
5,Amine Adli,AM,2023-2024,23,Morocco,Leverkusen,Bundesliga,23,898,10.0,8,15,447.0,11.0,1.0,23.0,7.0,0.0,3.3,3.3,2.9,0.7,27.0,15.0,13.7,0.0,4.0,6.0,10.0,4.0,0.0,0,0.0,367.0,459,80.0,21.0,19,18.0,3,39,252.0,291.0,86.6,91,110,82.7,7,18,38.9
6,Yacine Adli,DM,2023-2024,23,France,Milan,Serie A,24,1407,15.6,17,7,1220.0,78.0,16.0,50.0,7.0,35.0,0.3,0.3,2.0,0.7,4.0,1.0,19.8,0.0,1.0,2.0,3.0,1.0,0.0,0,0.0,1125.0,1300,86.5,22.0,149,16.0,6,125,489.0,534.0,91.6,487,534,91.2,120,177,67.8
7,Michel Aebischer,DM,2023-2024,26,Switzerland,Bologna,Serie A,36,2230,24.8,26,10,1447.0,53.0,5.0,12.0,13.0,6.0,1.1,1.1,1.0,-1.1,18.0,5.0,22.4,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,1370.0,1503,91.2,17.0,117,9.0,1,125,729.0,773.0,94.3,525,562,93.4,79,103,76.7
8,Lucien Agoume,CM,2023-2024,21,France,Sevilla,La Liga,13,782,8.7,9,4,361.0,4.0,2.0,2.0,0.0,0.0,0.9,0.9,0.3,-0.9,6.0,2.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,306.0,365,83.8,9.0,36,5.0,1,35,144.0,166.0,86.7,122,137,89.1,31,42,73.8
9,Felix Agu,LM,2023-2024,23,Germany,Werder Bremen,Bundesliga,24,1614,17.9,19,5,538.0,128.0,2.0,46.0,124.0,1.0,0.9,0.9,1.4,-0.9,11.0,0.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,488.0,669,72.9,7.0,18,16.0,7,32,246.0,292.0,84.2,203,253,80.2,27,67,40.3
10,Naouirou Ahamada,LM,2023-2024,21,France,Crystal Palace,Premier League,20,349,3.9,0,20,183.0,4.0,0.0,6.0,2.0,0.0,0.5,0.5,0.1,-0.5,9.0,2.0,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,150.0,187,80.2,1.0,12,0.0,0,25,76.0,89.0,85.4,59,69,85.5,10,14,71.4
11,Tosin Aiyegun,AM,2023-2024,25,Benin,Lorient,Ligue 1,19,902,10.0,10,9,193.0,7.0,0.0,8.0,1.0,0.0,1.8,1.8,0.3,0.2,11.0,3.0,22.7,0.0,2.0,0.0,2.0,2.0,0.0,0,0.0,154.0,203,75.9,7.0,7,2.0,0,16,73.0,98.0,74.5,58,70,82.9,10,15,66.7
12,Ilias Akhomach,RM,2023-2024,19,Morocco,Villarreal,La Liga,31,1511,16.8,17,14,464.0,14.0,2.0,29.0,5.0,4.0,3.2,3.2,2.5,-1.2,30.0,7.0,18.1,0.0,2.0,2.0,4.0,2.0,0.0,0,0.0,372.0,481,77.3,21.0,20,24.0,6,45,239.0,275.0,86.9,101,133,75.9,14,28,50.0
13,Ebenezer Akinsanmiro,CM,2023-2024,18,Nigeria,Inter,Serie A,1,15,0.2,0,1,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,8,87.5,1.0,1,1.0,0,2,6.0,6.0,100.0,1,1,100.0,0,0,0.0
14,Maghnes Akliouche,AM,2023-2024,21,France,Monaco,Ligue 1,28,1613,17.9,18,10,773.0,54.0,2.0,54.0,3.0,37.0,5.4,5.4,3.4,1.6,36.0,22.0,15.7,1.0,7.0,4.0,11.0,7.0,0.0,0,0.0,645.0,833,77.4,38.0,64,38.0,3,93,380.0,444.0,85.6,196,246,79.7,32,69,46.4
15,Paul Akouokou,DM,2023-2024,25,Ivory Coast,Lyon,Ligue 1,10,334,3.7,4,6,200.0,2.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,-0.1,2.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,174.0,202,86.1,0.0,16,0.0,0,14,68.0,81.0,84.0,83,88,94.3,15,20,75.0
16,Jean-Daniel Akpa-Akpro,DM,2023-2024,30,Ivory Coast,Monza,Serie A,19,705,7.8,8,11,260.0,3.0,1.0,1.0,0.0,0.0,0.5,0.5,0.2,-0.5,7.0,3.0,26.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,220.0,263,83.7,1.0,14,0.0,0,10,113.0,128.0,88.3,95,104,91.3,12,15,80.0
17,Luis Alberto,AM,2023-2024,30,Spain,Lazio,Serie A,33,2311,25.7,29,4,1452.0,215.0,6.0,150.0,13.0,114.0,4.7,4.7,4.8,0.3,56.0,15.0,22.0,4.0,5.0,7.0,12.0,5.0,0.0,0,0.0,1303.0,1679,77.6,64.0,172,48.0,4,212,711.0,797.0,89.2,442,538,82.2,104,239,43.5
18,Thiago Alcántara,CM,2023-2024,32,Spain,Liverpool,Premier League,1,6,0.1,0,1,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,10,70.0,0.0,0,0.0,0,0,3.0,3.0,100.0,3,4,75.0,1,2,50.0
19,Carlos Alcaraz,CM,2023-2024,20,Argentina,Juventus,Serie A,10,380,4.2,3,7,155.0,10.0,1.0,1.0,2.0,1.0,0.4,0.4,0.4,-0.4,11.0,2.0,24.0,2.0,0.0,1.0,1.0,0.0,0.0,0,0.0,143.0,165,86.7,2.0,20,4.0,0,27,68.0,79.0,86.1,56,62,90.3,17,19,89.5
20,Rubén Alcaraz,CM,2023-2024,32,Spain,Cádiz,La Liga,36,3134,34.8,36,0,1462.0,106.0,42.0,36.0,7.0,8.0,3.3,1.7,1.6,-0.3,46.0,10.0,24.9,8.0,3.0,1.0,4.0,1.0,2.0,2,0.0,1271.0,1582,80.3,23.0,151,16.0,3,154,577.0,637.0,90.6,487,558,87.3,167,303,55.1
21,Iván Alejo,RM,2023-2024,28,Spain,Cádiz,La Liga,30,1692,18.8,21,9,433.0,46.0,2.0,151.0,24.0,12.0,0.5,0.5,2.8,-0.5,11.0,2.0,21.9,0.0,0.0,2.0,2.0,0.0,0.0,0,0.0,245.0,481,50.9,16.0,17,25.0,22,31,117.0,163.0,71.8,70,147,47.6,39,104,37.5
22,Carles Aleñá,RM,2023-2024,25,Spain,Getafe,La Liga,29,1020,11.3,10,19,359.0,36.0,4.0,33.0,5.0,14.0,1.2,1.2,1.0,-0.2,16.0,5.0,18.8,0.0,1.0,1.0,2.0,1.0,0.0,0,0.0,308.0,396,77.8,18.0,31,3.0,2,23,144.0,169.0,85.2,114,138,82.6,38,59,64.4
23,Aboubacar Ali,LM,2023-2024,17,France,Strasbourg,Ligue 1,9,130,1.4,1,8,34.0,0.0,0.0,6.0,0.0,0.0,0.2,0.2,0.1,-0.2,4.0,2.0,19.4,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,22.0,34,64.7,1.0,4,1.0,0,3,14.0,19.0,73.7,7,12,58.3,0,0,0.0
24,Nabil Alioui,AM,2023-2024,24,France,Le Havre,Ligue 1,18,1009,11.2,12,6,289.0,66.0,1.0,54.0,1.0,36.0,2.4,2.4,2.5,1.6,28.0,9.0,19.0,1.0,4.0,1.0,5.0,4.0,0.0,0,0.0,228.0,358,63.7,24.0,35,15.0,3,43,118.0,151.0,78.1,64,92,69.6,35,83,42.2
25,Tadeo Allende,RM,2023-2024,24,Argentina,Celta Vigo,La Liga,10,336,3.7,2,8,97.0,1.0,1.0,10.0,0.0,0.0,1.2,1.2,0.2,-0.2,8.0,2.0,17.4,0.0,1.0,0.0,1.0,1.0,0.0,0,0.0,60.0,98,61.2,2.0,5,2.0,1,7,39.0,52.0,75.0,12,22,54.5,5,8,62.5
26,Jim Allevinah,AM,2023-2024,28,Gabon,Clermont Foot,Ligue 1,29,1861,20.7,22,7,675.0,65.0,0.0,47.0,57.0,1.0,2.6,2.6,1.4,-0.6,37.0,11.0,14.8,0.0,2.0,1.0,3.0,2.0,0.0,0,0.0,589.0,743,79.3,20.0,36,20.0,8,52,321.0,375.0,85.6,206,264,78.0,20,42,47.6
27,Sergi Altimira,DM,2023-2024,21,Spain,Betis,La Liga,14,568,6.3,6,8,315.0,3.0,4.0,1.0,1.0,1.0,0.2,0.2,0.3,0.8,7.0,2.0,22.3,0.0,1.0,0.0,1.0,1.0,0.0,0,0.0,289.0,320,90.3,4.0,26,2.0,0,31,142.0,154.0,92.2,110,116,94.8,30,36,83.3
28,Edson Álvarez,DM,2023-2024,25,Mexico,West Ham,Premier League,31,2377,26.4,28,3,1184.0,18.0,9.0,4.0,3.0,0.0,1.3,1.3,0.8,-0.3,17.0,3.0,21.1,0.0,1.0,1.0,2.0,1.0,0.0,0,0.0,1033.0,1207,85.6,12.0,87,6.0,1,91,518.0,573.0,90.4,401,445,90.1,87,132,65.9
29,Hugo Álvarez,LM,2023-2024,20,Spain,Celta Vigo,La Liga,12,762,8.5,8,4,379.0,73.0,1.0,22.0,58.0,7.0,1.0,1.0,1.8,0.0,12.0,4.0,13.9,0.0,1.0,1.0,2.0,1.0,0.0,0,0.0,380.0,455,83.5,19.0,19,15.0,3,34,241.0,263.0,91.6,117,134,87.3,8,27,29.6
30,Skelly Alvero,CM,2023-2024,21,France,Werder Bremen,Bundesliga,14,549,6.1,7,7,265.0,3.0,2.0,2.0,0.0,0.0,0.8,0.8,0.2,1.2,14.0,6.0,20.1,0.0,2.0,0.0,2.0,2.0,0.0,0,0.0,218.0,269,81.0,2.0,20,4.0,1,36,107.0,130.0,82.3,85,102,83.3,20,25,80.0
31,Lorenzo Amatucci,CM,2023-2024,19,Italy,Fiorentina,Serie A,2,22,0.2,0,2,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,22.0,25,88.0,0.0,3,0.0,0,2,6.0,7.0,85.7,14,14,100.0,2,2,100.0
32,Nadiem Amiri,CM,2023-2024,26,Germany,2 Teams,Bundesliga,23,1401,15.6,16,7,710.0,183.0,3.0,127.0,9.0,89.0,2.3,1.5,4.3,-1.3,38.0,10.0,26.4,11.0,1.0,4.0,5.0,1.0,0.0,1,1.0,659.0,898,73.4,53.0,78,19.0,3,94,317.0,363.0,87.3,222,282,78.7,95,202,47.0
33,Kofi Amoako,DM,2023-2024,18,Germany,Wolfsburg,Bundesliga,2,2,0.0,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,1,0.0
34,Sofyan Amrabat,CM,2023-2024,26,Morocco,Fiorentina,Serie A,21,938,10.4,10,11,642.0,21.0,8.0,7.0,11.0,0.0,0.1,0.1,0.4,-0.1,3.0,0.0,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,578.0,664,87.0,6.0,62,6.0,1,66,244.0,274.0,89.1,264,296,89.2,56,67,83.6
35,Elliot Anderson,CM,2023-2024,20,Scotland,Newcastle Utd,Premier League,21,1027,11.4,10,11,431.0,29.0,1.0,19.0,25.0,1.0,1.5,1.5,1.2,-1.5,19.0,4.0,14.5,0.0,0.0,2.0,2.0,0.0,0.0,0,0.0,370.0,460,80.4,15.0,36,12.0,0,57,241.0,274.0,88.0,108,130,83.1,8,27,29.6
36,Benjamin André,CM,2023-2024,32,France,Lille,Ligue 1,30,2570,28.6,29,1,1855.0,58.0,19.0,19.0,1.0,0.0,2.6,2.6,2.2,1.4,23.0,9.0,17.0,0.0,4.0,0.0,4.0,4.0,0.0,0,0.0,1598.0,1919,83.3,19.0,173,9.0,2,180,751.0,860.0,87.3,648,733,88.4,123,199,61.8
37,Robert Andrich,CM,2023-2024,28,Germany,Leverkusen,Bundesliga,28,1690,18.8,18,10,1458.0,34.0,4.0,14.0,2.0,0.0,1.7,1.7,2.2,2.3,23.0,9.0,20.0,2.0,4.0,2.0,6.0,4.0,0.0,0,0.0,1346.0,1494,90.1,22.0,117,19.0,3,97,749.0,789.0,94.9,487,542,89.9,74,105,70.5
38,Houssem Aouar,CM,2023-2024,25,Algeria,Roma,Serie A,16,756,8.4,9,7,344.0,15.0,0.0,10.0,3.0,8.0,2.3,2.3,0.6,1.7,12.0,7.0,13.3,0.0,4.0,0.0,4.0,4.0,0.0,0,0.0,300.0,359,83.6,10.0,25,3.0,1,26,166.0,181.0,91.7,113,133,85.0,14,21,66.7
39,Mauro Arambarri,CM,2023-2024,27,Uruguay,Getafe,La Liga,7,339,3.8,3,4,138.0,4.0,2.0,6.0,1.0,1.0,0.5,0.5,0.1,-0.5,9.0,2.0,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,114.0,142,80.3,2.0,17,2.0,2,20,48.0,55.0,87.3,48,56,85.7,18,25,72.0
40,Oliver Arblaster,CM,2023-2024,19,England,Sheffield Utd,Premier League,12,943,10.5,11,1,406.0,29.0,2.0,7.0,0.0,6.0,0.0,0.0,0.9,0.0,1.0,1.0,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,349.0,438,79.7,11.0,37,6.0,0,43,173.0,200.0,86.5,146,166,88.0,26,50,52.0
41,Maximilian Arnold,CM,2023-2024,29,Germany,Wolfsburg,Bundesliga,30,2506,27.8,27,3,1404.0,171.0,17.0,110.0,1.0,58.0,1.0,1.0,4.4,1.0,32.0,12.0,27.8,8.0,2.0,1.0,3.0,2.0,0.0,0,0.0,1285.0,1582,81.2,48.0,151,28.0,11,143,497.0,549.0,90.5,590,664,88.9,175,316,55.4
42,Sergio Arribas,AM,2023-2024,21,Spain,Almería,La Liga,34,2047,22.7,22,12,661.0,86.0,4.0,60.0,7.0,28.0,8.6,8.6,3.3,0.4,60.0,22.0,16.8,1.0,9.0,4.0,13.0,9.0,0.0,0,0.0,588.0,751,78.3,42.0,51,26.0,4,81,355.0,412.0,86.2,168,196,85.7,32,77,41.6
43,Kristjan Asllani,CM,2023-2024,21,Albania,Inter,Serie A,23,787,8.7,6,17,685.0,56.0,4.0,35.0,1.0,32.0,0.6,0.6,0.8,0.4,15.0,4.0,27.1,1.0,1.0,2.0,3.0,1.0,0.0,0,0.0,662.0,744,89.0,8.0,47,4.0,1,32,296.0,306.0,96.7,284,302,94.0,78,120,65.0
44,Valentin Atangana Edoa,CM,2023-2024,17,France,Reims,Ligue 1,15,555,6.2,7,8,171.0,7.0,0.0,5.0,6.0,0.0,0.5,0.5,0.3,-0.5,9.0,2.0,19.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,155.0,179,86.6,2.0,14,1.0,1,21,50.0,60.0,83.3,90,97,92.8,10,12,83.3
45,Arthur Atta,CM,2023-2024,20,France,Metz,Ligue 1,21,924,10.3,10,11,378.0,20.0,4.0,10.0,6.0,1.0,0.6,0.6,0.5,0.4,9.0,4.0,16.2,0.0,1.0,2.0,3.0,1.0,0.0,0,0.0,301.0,401,75.1,12.0,37,12.0,4,48,121.0,154.0,78.6,131,157,83.4,39,65,60.0
46,Neil El Aynaoui,CM,2023-2024,22,France,Lens,Ligue 1,25,1566,17.4,17,8,660.0,9.0,0.0,7.0,1.0,0.0,2.4,2.4,0.9,-1.4,22.0,8.0,16.0,0.0,1.0,2.0,3.0,1.0,0.0,0,0.0,576.0,670,86.0,16.0,66,10.0,1,59,302.0,344.0,87.8,209,230,90.9,25,43,58.1
47,Oussama El Azzouzi,DM,2023-2024,22,Morocco,Bologna,Serie A,18,547,6.1,5,13,383.0,7.0,2.0,2.0,0.0,1.0,0.5,0.5,0.2,1.5,2.0,2.0,9.5,0.0,2.0,2.0,4.0,2.0,0.0,0,0.0,352.0,390,90.3,6.0,21,0.0,0,19,159.0,174.0,91.4,138,147,93.9,42,50,84.0
48,Abdellah Baallal,AM,2023-2024,18,Morocco,Clermont Foot,Ligue 1,1,4,0.0,0,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,4,75.0,0.0,0,0.0,0,0,2.0,3.0,66.7,1,1,100.0,0,0,0.0
49,Iddrisu Baba,DM,2023-2024,27,Ghana,Almería,La Liga,25,1430,15.9,14,11,636.0,15.0,2.0,4.0,0.0,0.0,0.7,0.7,0.4,-0.7,8.0,2.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,543.0,654,83.0,6.0,51,3.0,2,60,207.0,245.0,84.5,272,308,88.3,52,67,77.6
50,Milan Badelj,CM,2023-2024,34,Croatia,Genoa,Serie A,33,2535,28.2,32,1,1344.0,59.0,14.0,14.0,9.0,0.0,1.4,1.4,1.4,-0.4,21.0,4.0,19.1,0.0,1.0,3.0,4.0,1.0,0.0,0,0.0,1136.0,1407,80.7,18.0,140,23.0,4,151,504.0,579.0,87.0,474,547,86.7,110,189,58.2
51,Alex Baena,LM,2023-2024,22,Spain,Villarreal,La Liga,34,2579,28.7,33,1,1087.0,153.0,15.0,175.0,15.0,95.0,7.9,7.1,9.5,-5.9,72.0,25.0,20.8,5.0,2.0,14.0,16.0,2.0,0.0,1,1.0,893.0,1255,71.2,83.0,95,59.0,15,165,394.0,460.0,85.7,351,467,75.2,129,244,52.9
52,Stefan Bajcetic,CM,2023-2024,18,Spain,Liverpool,Premier League,1,26,0.3,0,1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,10,70.0,0.0,0,0.0,0,1,3.0,3.0,100.0,4,6,66.7,0,0,0.0
53,Nedim Bajrami,AM,2023-2024,24,Albania,Sassuolo,Serie A,28,1310,14.6,15,13,376.0,83.0,1.0,78.0,10.0,44.0,2.5,2.5,1.6,-0.5,32.0,9.0,21.8,3.0,2.0,2.0,4.0,2.0,0.0,0,0.0,330.0,460,71.7,22.0,16,15.0,2,49,154.0,186.0,82.8,134,174,77.0,25,63,39.7
54,Tiemoué Bakayoko,CM,2023-2024,28,France,Lorient,Ligue 1,20,1314,14.6,15,5,619.0,17.0,3.0,1.0,1.0,0.0,1.7,1.7,0.3,0.3,12.0,7.0,15.8,0.0,2.0,1.0,3.0,2.0,0.0,0,0.0,550.0,637,86.3,4.0,55,2.0,0,54,251.0,282.0,89.0,240,270,88.9,42,50,84.0
55,Tommaso Baldanzi,AM,2023-2024,20,Italy,2 Teams,Serie A,27,1263,14.0,14,13,424.0,33.0,0.0,23.0,13.0,10.0,3.0,3.0,1.5,-1.0,29.0,9.0,19.0,0.0,2.0,0.0,2.0,2.0,0.0,0,0.0,376.0,462,81.4,17.0,28,17.0,6,44,213.0,243.0,87.7,127,152,83.6,18,29,62.1
56,Carlos Baleba,DM,2023-2024,19,Cameroon,Brighton,Premier League,29,1386,15.4,16,13,812.0,6.0,5.0,0.0,0.0,0.0,0.9,0.9,0.3,-0.9,23.0,6.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,752.0,820,91.7,8.0,43,3.0,0,53,422.0,451.0,93.6,279,291,95.9,28,36,77.8
57,Jonathan Bamba,LM,2023-2024,27,Ivory Coast,Celta Vigo,La Liga,27,1981,22.0,24,3,745.0,19.0,2.0,50.0,11.0,1.0,3.0,3.0,3.7,0.0,41.0,14.0,19.2,0.0,3.0,2.0,5.0,3.0,0.0,0,0.0,590.0,769,76.7,38.0,38,33.0,10,80,397.0,455.0,87.3,138,190,72.6,20,36,55.6
58,Daniel Bandeira,CM,2023-2024,23,Portugal,Hellas Verona,Serie A,14,446,5.0,3,11,224.0,7.0,4.0,7.0,3.0,2.0,0.1,0.1,0.3,-0.1,3.0,0.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,187.0,233,80.3,3.0,30,5.0,0,34,82.0,93.0,88.2,77,91,84.6,22,36,61.1
59,Shandon Baptiste,CM,2023-2024,25,Grenada,Brentford,Premier League,10,229,2.5,2,8,87.0,3.0,0.0,3.0,1.0,0.0,0.9,0.9,0.4,0.1,2.0,2.0,6.6,0.0,1.0,1.0,2.0,1.0,0.0,0,0.0,66.0,90,73.3,4.0,7,3.0,2,5,33.0,39.0,84.6,25,28,89.3,7,15,46.7
60,Antonín Barák,AM,2023-2024,28,Czech Republic,Fiorentina,Serie A,21,808,9.0,8,13,372.0,20.0,1.0,4.0,4.0,1.0,1.5,1.5,1.5,0.5,20.0,8.0,16.9,1.0,2.0,3.0,5.0,2.0,0.0,0,0.0,338.0,392,86.2,14.0,30,9.0,3,33,191.0,208.0,91.8,115,133,86.5,22,25,88.0
61,Nicolò Barella,CM,2023-2024,26,Italy,Inter,Serie A,37,2846,31.6,34,3,2120.0,37.0,25.0,51.0,19.0,1.0,5.1,5.1,4.5,-3.1,40.0,12.0,18.2,0.0,2.0,3.0,5.0,2.0,0.0,0,0.0,1835.0,2168,84.6,42.0,212,78.0,11,278,958.0,1045.0,91.7,678,762,89.0,155,246,63.0
62,Ross Barkley,CM,2023-2024,29,England,Luton Town,Premier League,32,2618,29.1,30,2,1329.0,139.0,24.0,45.0,14.0,16.0,4.1,4.1,2.7,0.9,66.0,19.0,21.5,6.0,5.0,4.0,9.0,5.0,0.0,0,0.0,1218.0,1474,82.6,44.0,138,27.0,1,163,550.0,611.0,90.0,473,533,88.7,147,226,65.0
63,Aymen Barkok,DM,2023-2024,25,Morocco,Mainz 05,Bundesliga,13,321,3.6,1,12,171.0,13.0,0.0,13.0,8.0,4.0,1.7,0.9,0.6,-0.7,11.0,6.0,17.2,0.0,1.0,0.0,1.0,1.0,0.0,1,1.0,118.0,184,64.1,5.0,11,4.0,1,16,64.0,90.0,71.1,39,59,66.1,9,20,45.0
64,Leandro Barreiro Martins,CM,2023-2024,23,Luxembourg,Mainz 05,Bundesliga,31,2606,29.0,29,2,900.0,20.0,3.0,5.0,2.0,0.0,4.5,4.5,1.1,-0.5,38.0,13.0,16.4,0.0,4.0,1.0,5.0,4.0,0.0,0,0.0,679.0,925,73.4,20.0,74,12.0,2,93,338.0,425.0,79.5,267,344,77.6,54,92,58.7
65,Enzo Barrenechea,CM,2023-2024,22,Argentina,Frosinone,Serie A,36,2811,31.2,32,4,1795.0,104.0,13.0,1.0,3.0,0.0,0.6,0.6,1.1,-0.6,20.0,3.0,22.8,2.0,0.0,1.0,1.0,0.0,0.0,0,0.0,1624.0,1903,85.3,25.0,160,8.0,0,155,779.0,857.0,90.9,679,775,87.6,126,193,65.3
66,Pablo Barrios,CM,2023-2024,20,Spain,Atlético Madrid,La Liga,24,1555,17.3,17,7,847.0,16.0,3.0,16.0,4.0,1.0,0.9,0.9,1.0,-0.9,17.0,7.0,21.8,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,728.0,873,83.4,16.0,75,16.0,0,98,381.0,431.0,88.4,286,327,87.5,46,71,64.8
67,Toma Bašić,CM,2023-2024,26,Croatia,2 Teams,Serie A,15,1162,12.9,14,1,503.0,35.0,6.0,25.0,7.0,6.0,0.6,0.6,0.7,-0.6,12.0,1.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,442.0,540,81.9,16.0,43,6.0,4,53,192.0,208.0,92.3,179,214,83.6,57,89,64.0
68,Simone Bastoni,CM,2023-2024,26,Italy,Empoli,Serie A,16,745,8.3,9,7,281.0,76.0,2.0,36.0,41.0,16.0,0.4,0.4,1.0,0.6,7.0,1.0,21.9,2.0,1.0,0.0,1.0,1.0,0.0,0,0.0,246.0,360,68.3,12.0,25,6.0,2,31,116.0,141.0,82.3,93,121,76.9,28,69,40.6
69,Christoph Baumgartner,AM,2023-2024,23,Austria,RB Leipzig,Bundesliga,32,1158,12.9,11,21,443.0,8.0,1.0,8.0,3.0,0.0,3.7,3.7,1.6,1.3,31.0,11.0,14.7,0.0,5.0,1.0,6.0,5.0,0.0,0,0.0,340.0,456,74.6,16.0,31,12.0,1,47,189.0,236.0,80.1,112,137,81.8,14,26,53.8
70,Adrian Beck,AM,2023-2024,26,Germany,Heidenheim,Bundesliga,23,974,10.8,11,12,411.0,18.0,5.0,6.0,1.0,0.0,1.7,1.7,0.6,-0.7,12.0,3.0,13.5,0.0,1.0,1.0,2.0,1.0,0.0,0,0.0,311.0,431,72.2,11.0,25,5.0,0,29,157.0,203.0,77.3,122,149,81.9,23,36,63.9
71,Donny van de Beek,CM,2023-2024,26,Netherlands,Eint Frankfurt,Bundesliga,8,357,4.0,4,4,134.0,5.0,0.0,7.0,0.0,4.0,0.1,0.1,0.6,-0.1,1.0,0.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,109.0,139,78.4,3.0,8,2.0,0,10,67.0,75.0,89.3,30,38,78.9,3,6,50.0
72,Reda Belahyane,CM,2023-2024,19,France,Hellas Verona,Serie A,3,117,1.3,1,2,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,26.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,36.0,40,90.0,0.0,3,1.0,0,5,23.0,24.0,95.8,10,10,100.0,1,2,50.0
